アニメシリーズID,メディア,タイトル,よみがな,開始年月日,終了年月日,放送局／劇場／販売元,原作,uri
ANS000005900,劇場,茶釜音頭,チャガマオンド,1934,-,-,-,http://mediaarts-db.jp/an/anime_series/90
ANS000005500,劇場,お猿の三吉 突撃隊,オサルノサンキチ　トツゲキタイ,1934,-,東和商事映画部,-,http://mediaarts-db.jp/an/anime_series/86
ANS000005700,劇場,元禄恋模様 三吉とおさよ,ゲンロクコイモヨウ　サンキチトオサヨ,1934/06,-,東和商事映画部,-,http://mediaarts-db.jp/an/anime_series/88
ANS000006000,劇場,塙団右衛門 化物退治の巻,バンダンエモン　バケモノタイジノマキ,1935,-,-,魔須田和光,http://mediaarts-db.jp/an/anime_series/92
ANS000006100,劇場,蟻と蛙,アリトカエル,1935/09/16,-,-,-,http://mediaarts-db.jp/an/anime_series/94
ANS000006200,劇場,新説カチカチ山（NFCカチカチ山）,シンセツカチカチヤマ,1935,-,-,-,http://mediaarts-db.jp/an/anime_series/96
ANS000006300,劇場,め組の喧嘩,メグミノケンカ,1936,-,-,原案／横田みきよ,http://mediaarts-db.jp/an/anime_series/98
ANS000006500,劇場,ターちゃんの海底旅行,ターチャンノカイテイリョコウ,1934,-,-,-,http://mediaarts-db.jp/an/anime_series/100
ANS000006600,劇場,ターちゃんの怪物退治,ターチャンノカイブツタイジ,1935,-,-,-,http://mediaarts-db.jp/an/anime_series/102
ANS000006700,劇場,森の妖精,モリノヨウセイ,1938/09/01,-,-,-,http://mediaarts-db.jp/an/anime_series/104
ANS000006900,劇場,絵本モモタロウ,エホンモモタロウ,1935,-,-,-,http://mediaarts-db.jp/an/anime_series/106
ANS000007100,劇場,ポンポコ武勇伝,ポンポコブユウデン,1934,-,-,-,http://mediaarts-db.jp/an/anime_series/110
ANS000007000,劇場,忍術火の玉小僧 江戸の巻,ニンジュツヒノタマコゾウ　エドノマキ,1934/11/09,-,日活配給,-,http://mediaarts-db.jp/an/anime_series/108
ANS000007400,劇場,小鳥と兎,コトリトウサギ,1936,-,-,-,http://mediaarts-db.jp/an/anime_series/114
ANS000007300,劇場,マー坊の東京オリンピック大會,マーボウノトウキョウオリンピックタイカイ,1936,-,-,-,http://mediaarts-db.jp/an/anime_series/112
ANS000007500,劇場,日の丸太郎 武者修行,ヒノマルタロウ　ムシャシュギョウ,1936,-,-,-,http://mediaarts-db.jp/an/anime_series/116
ANS000007800,劇場,空の上海戦線 ニュースマンガ 支那事変拾う第二集,ソラノシャンハイセンセン　ニュースマンガ　シナジヘンヒロウダイニシュウ,1938/01,-,三映社,-,http://mediaarts-db.jp/an/anime_series/120
ANS000007700,劇場,マー坊の少年航空兵,マーボウノショウネンコウクウヘイ,1937,-,-,-,http://mediaarts-db.jp/an/anime_series/118
ANS000007900,劇場,爆弾二将校 ニュースマンガ 支那事変に拾う第一集,バクダンニショウコウ　ニュースマンガ　シナジヘンニヒロウダイイッシュウ,1938,-,三映社,-,http://mediaarts-db.jp/an/anime_series/122
ANS000008000,劇場,マー坊の大陸秘境探検 （マー坊の珍道中）,マーボウノタイリクヒキョウタンケン,1938,-,-,-,http://mediaarts-db.jp/an/anime_series/124
ANS000008300,劇場,非常時学校,ヒジョウジガッコウ,1939,-,-,-,http://mediaarts-db.jp/an/anime_series/130
ANS000008100,劇場,マー坊の木下藤吉郎,マーボウノキノシタトウキチロウ,1938,-,-,-,http://mediaarts-db.jp/an/anime_series/126
ANS000008200,劇場,荒鷲,アラワシ,1938,-,-,-,http://mediaarts-db.jp/an/anime_series/128
ANS000008400,劇場,森のお医者と白衣の勇士,モリノオイシャトハクイノユウシ,1943,-,-,-,http://mediaarts-db.jp/an/anime_series/132
ANS000008700,劇場,新猿蟹合戦,シンサルカニガッセン,1939,-,奥商会教育映画部[提供],-,http://mediaarts-db.jp/an/anime_series/134
ANS000008900,劇場,ニャンの浦島,ニャンノウラシマ,1939/05/30,-,日本短篇映画社,-,http://mediaarts-db.jp/an/anime_series/138
ANS000009000,劇場,べんけい対ウシワカ,ベンケイタイウシワカ,1939/07,-,日本短篇映画社,-,http://mediaarts-db.jp/an/anime_series/140
ANS000008800,劇場,奴の凧平 お供は強いね,ヤッコノタコベエ　オトモハツヨイネ,1939/07/22,-,-,-,http://mediaarts-db.jp/an/anime_series/136
ANS000009100,劇場,黄金の鈎,オウゴンノハリ,1939/11/02,-,-,-,http://mediaarts-db.jp/an/anime_series/142
ANS000009200,劇場,カチカチ山,カチカチヤマ,1940/01/05,-,-,-,http://mediaarts-db.jp/an/anime_series/144
ANS000009400,劇場,夢の魔術師,ユメミドウシ,1940/11/14,-,-,-,http://mediaarts-db.jp/an/anime_series/149
ANS000009300,劇場,お蝶婦人の幻想,オチョウフジンノゲンソウ,1940/05/16,-,-,-,http://mediaarts-db.jp/an/anime_series/146
ANS000009500,劇場,大当り文福,オオアタリブンブク,1940,-,-,-,http://mediaarts-db.jp/an/anime_series/151
ANS000009800,劇場,鳥の保険勧誘員,トリノホケンカンユウイン,1940,-,-,-,http://mediaarts-db.jp/an/anime_series/155
ANS000009600,劇場,キンタロー体育日記,キンタロータイイクニッキ,1940,-,三幸映画社,-,http://mediaarts-db.jp/an/anime_series/153
ANS000009900,劇場,発声漫画の出来るまで,ハッセイマンガノデキルマデ,1940/12/26,-,-,-,http://mediaarts-db.jp/an/anime_series/157
ANS000010000,劇場,カンガルーの誕生日,カンガルーノタンジョウビ,1941/02,-,深田商会映画部,木村阿弥子,http://mediaarts-db.jp/an/anime_series/159
ANS000010100,劇場,影繪映画 ジャックと豆の木,カゲエエイガ　ジャックトマメノキ,1941,-,-,荒井和五郎、飛石仲也,http://mediaarts-db.jp/an/anime_series/162
ANS000010200,劇場,お猿三吉 僕等の海兵団,オサルサンキチ　ボクラノカイヘイダン,1941,-,日本マンガフィルム研究所,-,http://mediaarts-db.jp/an/anime_series/164
ANS000010300,劇場,動物防諜戦,ドウブツボウチョウセン,1941/02/19,-,-,-,http://mediaarts-db.jp/an/anime_series/166
ANS000010600,劇場,マー坊の鉄血陸戦隊,マーボウノネッケツリクセンタイ,1941/01/01,-,-,-,http://mediaarts-db.jp/an/anime_series/170
ANS000010400,劇場,子供と工作,コドモトコウサク,1941,-,-,-,http://mediaarts-db.jp/an/anime_series/168
ANS000010700,劇場,チュウ児の羽衣,チョウジノハゴロモ,1942/01/08,-,東和商事映画部,-,http://mediaarts-db.jp/an/anime_series/172
ANS000010800,劇場,影繪映画 かぐや姫,カゲエエイガ　カグヤヒメ,1942/02/24,-,松竹,-,http://mediaarts-db.jp/an/anime_series/174
ANS000011200,劇場,お猿の艦隊,オサルノカンタイ,1936,-,-,伊藤方文,http://mediaarts-db.jp/an/anime_series/180
ANS000010900,劇場,フクちゃんの奇襲,フクチャンノキシュウ,1941/03/15,-,松竹,横山隆一,http://mediaarts-db.jp/an/anime_series/176
ANS000011000,劇場,マー坊の大陸戦撫隊 後編 匪賊退治の巻,マーボウノタイリクセンブタイ　コウゾク　ヒゾクタイジノマキ,1942/03/26,-,-,-,http://mediaarts-db.jp/an/anime_series/178
ANS000011700,劇場,スパイ撃滅,スパイゲキメツ,1942/07/16,-,-,-,http://mediaarts-db.jp/an/anime_series/184
ANS000011300,劇場,無敵総動員,ムテキソウドウイン,1942/06/04,-,-,-,http://mediaarts-db.jp/an/anime_series/182
ANS000011800,劇場,月夜の兎,ツキヨノウサギ,1942/07/23,-,-,-,http://mediaarts-db.jp/an/anime_series/186
ANS000012000,劇場,幸福の母,コウフクノハハ,1938,-,-,-,http://mediaarts-db.jp/an/anime_series/188
ANS000012200,劇場,子宝行進曲,コダカラコウシンキョク,1942/09/10,-,-,-,http://mediaarts-db.jp/an/anime_series/190
ANS000012500,劇場,躍るエンジン,オドルエンジン,1942/10/22,-,-,-,http://mediaarts-db.jp/an/anime_series/192
ANS000012600,劇場,見えざる敵,ミエザルテキ,1943/10/22,-,-,山根幹久,http://mediaarts-db.jp/an/anime_series/194
ANS000012700,劇場,夢の浦島,ユメノウラシマ,1942/11/05,-,モリモト映画社,-,http://mediaarts-db.jp/an/anime_series/196
ANS000013300,劇場,アリ チャン,アリ　チャン,1941,-,-,-,http://mediaarts-db.jp/an/anime_series/200
ANS000013200,劇場,マー坊南海奮戦記,マーボウノナンカイフントウキ,1942,-,-,-,http://mediaarts-db.jp/an/anime_series/198
ANS000013400,劇場,闘球肉弾戦,トウキュウニクダンセン,1943,-,映画配給社,-,http://mediaarts-db.jp/an/anime_series/202
ANS000013600,劇場,健康は幸福,ケンコウハコウフク,1943/03/11,-,-,-,http://mediaarts-db.jp/an/anime_series/204
ANS000014000,劇場,お山の防空陣,オヤマノボウクウジン,1943/07/01,-,-,-,http://mediaarts-db.jp/an/anime_series/210
ANS000013800,劇場,くもと ちゅうりっぷ,クモトチュウリップ,1943/04/15,-,映画配給社,横山美智子,http://mediaarts-db.jp/an/anime_series/206
ANS000013900,劇場,マー坊の落下傘部隊,マーボウノラッカサンブタイ,1943/07/01,-,-,-,http://mediaarts-db.jp/an/anime_series/208
ANS000014100,劇場,お猿三吉 闘ふ潜水艦,オサルノサンキチ　タタカウセンスイカン,1943/07/01,-,日本マンガフィルム研究所,-,http://mediaarts-db.jp/an/anime_series/212
ANS000014200,劇場,フクちゃん増産部隊,フクチャンノゾウサンブタイ,1943/07/01,-,-,横山隆一,http://mediaarts-db.jp/an/anime_series/214
ANS000014300,劇場,漫画 芋と兵隊,マンガ　イモトヘイタイ,1942/09/17,-,塚本興業,-,http://mediaarts-db.jp/an/anime_series/216
ANS000014500,劇場,桃太郎・海の神兵,モモタロウ・ウミノシンペイ,1945/04/12,-,松竹,-,http://mediaarts-db.jp/an/anime_series/220
ANS000014400,劇場,フクチヤンの　潛水艦*,フクチャンノセンスイカン,1944/11/09,-,映画配給社,横山隆一,http://mediaarts-db.jp/an/anime_series/218
ANS000014600,劇場,椰子の実,ヤシノミ,1947/05/06,-,-,-,http://mediaarts-db.jp/an/anime_series/222
ANS000014700,劇場,すて猫トラちゃん,ステネコトラチャン,1947/09/25,-,東宝,-,http://mediaarts-db.jp/an/anime_series/224
ANS000014800,劇場,ムクの木の話,ムクノキノハナシ,1947/09/25,-,東宝教育映画,-,http://mediaarts-db.jp/an/anime_series/226
ANS000015100,劇場,大聖釈尊 ［前編］,ダイショウサクソン　[ゼンヘン],1952,-,-,-,http://mediaarts-db.jp/an/anime_series/230
ANS000014900,劇場,ちどり,チドリ,1947/09/25,-,日比谷映画封切,・演出／下村兼史,http://mediaarts-db.jp/an/anime_series/228
ANS000015200,劇場,大聖釈尊 ［後編］,ダイショウサクソン　[コウヘン],1949,-,-,-,http://mediaarts-db.jp/an/anime_series/233
ANS000015400,劇場,ふくすけ,フクスケ,1957/10/29,-,東宝,-,http://mediaarts-db.jp/an/anime_series/235
ANS000015500,劇場,白蛇伝,ハクジャデン,1958/10/22,-,東映系,原案/上原信,http://mediaarts-db.jp/an/anime_series/237
ANS000015800,劇場,少年猿飛佐助,ショウネンサルトビサスケ,1959/12/25,-,東映系,原作／壇一雄 読売新聞連載,http://mediaarts-db.jp/an/anime_series/239
ANS000015900,劇場,ひょうたんすずめ,ヒョウタンスズメ,1959/02/10,-,東宝系,NULL,http://mediaarts-db.jp/an/anime_series/241
