アニメシリーズID,メディア,タイトル,よみがな,開始年月日,終了年月日,放送局／劇場／販売元,原作,uri
ANS000074400,TV,ルパン対ホームズ,ルパンタイホームズ,1981/05/05,-,フジテレビ,原作/モーリス・ルブラン,http://mediaarts-db.jp/an/anime_series/1297
ANS000074500,TVスペシャル,姿三四郎,スガタサンシロウ,1981/06/08,-,フジテレビ,原作/富田常雄,http://mediaarts-db.jp/an/anime_series/1299
ANS000074600,TV,戦国魔神ゴーショーグン,センゴクマジンゴーショーグン,1981/07/03,1981/12/28,東京12チャンネル,原作・構成/首藤剛志,http://mediaarts-db.jp/an/anime_series/1301
,,,,,,,,http://mediaarts-db.jp/an/anime_series/1306
,,,,,,,,http://mediaarts-db.jp/an/anime_series/1305
ANS000074700,TV,恐怖伝説 怪奇!フランケンシュタイン,キョウフデンセツ　カイキ！フランケンシュタイン,1981/07/27,-,テレビ朝日,-,http://mediaarts-db.jp/an/anime_series/1303
ANS000074900,劇場,あしたのジョー2,アシタノジョー,1981/07/04,-,ヘラルド・エンタープライズ　／　富士映画,原作/高森朝雄、ちばてつや（講談社刊）,http://mediaarts-db.jp/an/anime_series/1307
ANS000075000,劇場,機動戦士ガンダムⅡ 哀・戦士編,キドウセンシガンダムツーアイセンシヘン,1981/07/11,-,松竹,原作/矢立肇、富野喜幸,http://mediaarts-db.jp/an/anime_series/1309
ANS000075100,劇場,シリウスの伝説,シリウスノデンセツ,1981/07/18,-,サンリオ・日本ヘラルド映画,原作/辻信太郎 ＜シリウスの伝説＞ サンリオ出版刊,http://mediaarts-db.jp/an/anime_series/1311
ANS000075200,劇場,グリックの冒険,グリックノボウケン,1981/07/21,-,共同映画全国系列会議,[原作]斎藤惇夫(講談社文庫),http://mediaarts-db.jp/an/anime_series/1313
ANS000075400,劇場,Dr.スランプ アラレちゃん ハロー!不思議島の巻,ドクタースランプアラレチャン　ハロー！フシギジマノマキ,1981/07/18,-,東映,原作/鳥山明 集英社〔週刊少年ジャンプ〕連載,http://mediaarts-db.jp/an/anime_series/1317
ANS000075300,劇場,キャプテン,キャプテン,1981/07/18,-,日本ヘラルド,原作/ちばあきお＜集英社ジャンプコミックス＞,http://mediaarts-db.jp/an/anime_series/1315
ANS000075500,TVスペシャル,花王名人劇場 東海道四谷怪談,トウカイドウヨツヤカイダン,1981/08/16,-,フジテレビ,NULL,http://mediaarts-db.jp/an/anime_series/1319
ANS000075600,TV,カバ園長の…動物園日記,カバエンチョウノ・・・・・・ドウブツエンニッキ,1981/08/23,-,フジテレビ,原案、監修/西山登志雄,http://mediaarts-db.jp/an/anime_series/1321
ANS000075700,TVスペシャル,ブレーメン4 -地獄の中の天使たち-,ブレーメンフォー　ジゴクノナカノテンシタチ,1981/08/23,-,日本テレビ,原案、脚本、キャラクターデザイン、総監督/手塚治虫,http://mediaarts-db.jp/an/anime_series/1323
ANS000075800,劇場,さよなら銀河鉄道999 アンドロメダ終着駅,サヨナラギンガテツドウスリーナイン　アンドロメダシュウチャクエキ,1981/08/01,-,東映,企画・原作・構成／松本零士,http://mediaarts-db.jp/an/anime_series/1325
ANS000075900,劇場,ドラえもん ぼく、桃太郎のなんなのさ,ボク、モモタロウノナンナノサ,1981/08/01,-,東宝,原作/藤子不二雄 連載/マミイ、ベビー、めばえ、よいこ、幼稚園、てれびくん、コロコロコミック、小学一年生、小学二年生、小学三年生、小学四年生、小学五年生、小学六年生,http://mediaarts-db.jp/an/anime_series/1327
ANS000076100,劇場,ゆき,ユキ,1981/08/09,-,にっかつ児童映画,[原作]「ゆき」斎藤隆介,http://mediaarts-db.jp/an/anime_series/1331
ANS000076000,劇場,21エモン 宇宙へいらっしゃい!,ニジュウイチエモン　ウチュウヘイラッシャイ!,1981/08/01,-,東宝,原作/藤子不二雄 連載/コロコロコミック,http://mediaarts-db.jp/an/anime_series/1329
ANS000076200,TV,まんが水戸黄門,マンガミトコウモン,1981/09/03,1982/07/15,テレビ東京,キャラクター設定／森下　圭介,http://mediaarts-db.jp/an/anime_series/1333
ANS000076300,TV,新ど根性ガエル,シンドコンジョウガエル,1981/09/07,1982/03/29,日本テレビ,原作/吉沢やすみ（月刊少年ジャンプ連載・集英社刊）,http://mediaarts-db.jp/an/anime_series/1335
ANS000076400,TV,忍者ハットリくん,ニンジャ　ハットリクン,1981/09/28,1987/12/25,テレビ朝日,原作/藤子不二雄 連載/小学館の学習雑誌、てれびくん、コロコロコミック,http://mediaarts-db.jp/an/anime_series/1337
ANS000076800,TV,ダッシュ勝平,ダッシュカッペイ,1981/10/04,1982/12/26,フジテレビ,原作/六田登 （小学館少年サンデー連載）,http://mediaarts-db.jp/an/anime_series/1343
ANS000076700,TV,じゃりン子チエ,ジャリンコチエ,1981/10/03,1983/03/25,毎日放送,原作/はるき悦巳 連載/Weekly漫画アクション （単行本）双葉社刊,http://mediaarts-db.jp/an/anime_series/1341
ANS000076600,TV,六神合体ゴッドマーズ,ロクシンガッタイゴッドマーズ,1981/10/02,1962/12/24,日本テレビ,原作/横山光輝 -「マーズ」-より,http://mediaarts-db.jp/an/anime_series/1339
ANS000077000,TV,アニメ親子劇場,アニメ　オヤコゲキジョウ,1981/10/09,1982/03/29,テレビ東京,-,http://mediaarts-db.jp/an/anime_series/1347
ANS000076900,TV,銀河旋風ブライガー,ギンガセンプウブライガー,1981/10/06,1982/06/29,テレビ東京,NULL,http://mediaarts-db.jp/an/anime_series/1345
ANS000077100,TV,ワンワン三銃士,ワンワンサンジュウシ,1981/10/09,1982/03/26,毎日放送,原作/アレクサンドル・デュマ,http://mediaarts-db.jp/an/anime_series/1349
ANS000077300,TV,まいっちんぐマチコ先生,マイッチングマチコセンセイ,1981/10/08,1983/10/06,テレビ東京,原作/えびはら武司 アニメディア連載中,http://mediaarts-db.jp/an/anime_series/1353
ANS000077200,TV,うる星やつら,ウルセイヤツラ,1981/10/14,1986/03/19,フジテレビ,原作/高橋留美子（小学館・週刊少年サンデー）連載,http://mediaarts-db.jp/an/anime_series/1351
ANS000077400,TV,ハニーハニーのすてきな冒険,ハニーハニーノステキナボウケン,1981/10/17,1982/05/01,フジテレビ,原作/水野英子,http://mediaarts-db.jp/an/anime_series/1355
ANS000077500,TV,太陽の牙ダグラム,タイヨウノキバダグラム,1981/10/23,1983/03/25,テレビ東京,原案/矢立肇■原作/高橋良輔、星山博之,http://mediaarts-db.jp/an/anime_series/1357
ANS000077700,劇場,花の係長,ハナノカカリチョウ,1981/11/28,-,松竹,原作/園山俊二,http://mediaarts-db.jp/an/anime_series/1361
ANS000077600,TV,ぼくらマンガ家 トキワ荘物語,ボクラマンガカトキワソウモノガタリ,1981/10/03,-,TBS,鈴木　伸一、福島　和美,http://mediaarts-db.jp/an/anime_series/1359
ANS000077800,劇場,マンザイ太閤記,マンザイタイコウキ,1981/11/28,-,松竹,NULL,http://mediaarts-db.jp/an/anime_series/1363
ANS000077900,TV,小さなラブレター -まり子とねむの木の子供たち-,チイサナラブレター　-マリコトネムノキノコドモタチ-,1981/12/22,1981/12/22,テレビ朝日,宮城まり子,http://mediaarts-db.jp/an/anime_series/1365
ANS000078000,劇場,宇宙戦士 バルディオス,ウチュウセンシ　バルディオス,1981/12/19,-,東映,原作、脚本/酒井あきよし,http://mediaarts-db.jp/an/anime_series/1367
ANS000078200,TV,世界名作ものがたり,セカイメイサクモノガタリ,1981,-,-,-,http://mediaarts-db.jp/an/anime_series/1371
ANS000078100,劇場,シュンマオ物語 タオタオ,シュンマオモノガタリ　タオタオ,1981/12/26,-,松竹,原案・監修/山田洋次 出版/小学館,http://mediaarts-db.jp/an/anime_series/1369
ANS000078300,TV,サンタのいないクリスマス,サンタノイナイクリスマス,1981/12/24,-,朝日放送,原作/フイリム・マッキンレイ,http://mediaarts-db.jp/an/anime_series/1373
ANS000078400,TV,三国志,サンゴクシ,1982/01/04,-,テレビ朝日,-,http://mediaarts-db.jp/an/anime_series/1375
ANS000078500,TV,南の虹のルーシー,ミナミノニジノルーシー,1982/01/10,1982/12/26,フジテレビ,原作/フィリス・ピディングトン作「南の虹」より 連載/リビングブック,http://mediaarts-db.jp/an/anime_series/1377
ANS000078800,TV,戦闘メカザブングル,セントウメカザブングル,1982/02/06,1983/01/29,名古屋テレビ,原案/矢立肇■原作/富野由悠季、鈴木良武,http://mediaarts-db.jp/an/anime_series/1383
ANS000078700,TV,あさりちゃん,アサリチャン,1982/01/25,1983/02/28,テレビ朝日,原作/室山まゆみ 掲載/小学館学習雑誌、コロコロコミック、てれびくん,http://mediaarts-db.jp/an/anime_series/1381
ANS000078600,劇場,セロ弾きのゴーシュ,セロヒキノゴーシュ,1982/01/23,-,映画センター全国連絡会議配給 日仏会館公開,原作/宮沢賢治,http://mediaarts-db.jp/an/anime_series/1379
ANS000078900,TV,タイムボカンシリーズ 逆転イッパツマン,タイムボカンシリーズ　ギャクテンイッパツマン,1982/02/13,1983/03/26,フジテレビ,原作/タツノコプロ企画室■連載/小学館,http://mediaarts-db.jp/an/anime_series/1385
ANS000079000,TV,吾輩は猫である,ワガハイハネコデアル,1982/02/17,1982/02/17,フジテレビ,原作/夏目漱石,http://mediaarts-db.jp/an/anime_series/1387
ANS000079100,TV,機甲艦隊ダイラガー〔XV〕,キコウカンタイ　ダイラガーフィフティーン,1982/03/03,1983/03/23,テレビ東京,原案/八手三郎 掲載/「テレビランド」「テレビくん」,http://mediaarts-db.jp/an/anime_series/1389
ANS000079200,劇場,おはよう! スパンク,オハヨウ!　スパンク,1982/03/13,-,東宝東和,原作/雪室俊一、たかなししずえ（なかよし・連載）講談社刊,http://mediaarts-db.jp/an/anime_series/1391
ANS000079300,劇場,機動戦士ガンダムⅢ  めぐりあい宇宙編,キドウセンシガンダムスリー　メグリアイソラヘン,1982/03/13,-,松竹,原作/矢立肇、富野喜幸,http://mediaarts-db.jp/an/anime_series/1393
ANS000079400,劇場,1000年女王,センネンジョオウ,1982/03/13,-,東映,企画・原案・構成/松本零士,http://mediaarts-db.jp/an/anime_series/1395
ANS000079500,劇場,ドラえもん のび太の大魔境,ノビタノダイマキョウ,1982/03/13,-,東宝,原作・脚本/藤子不二雄 連載/マミイ、ベビーブック、めばえ、よいこ、幼稚園、てれびくん、コロコロコミックほか,http://mediaarts-db.jp/an/anime_series/1397
ANS000079600,劇場,忍者 ハットリくん ニンニン忍法絵日記の巻,ニンジャ　ハットリクン　ニンニンニンポウエニッキノマキ,1982/03/13,-,東宝,原作/藤子不二雄 連載/マミー、ベビーブック、めばえ、よいこ、幼稚園、コロコロコミック、てれびくん、小学一年生ほか,http://mediaarts-db.jp/an/anime_series/1399
ANS000079700,TV,魔法のプリンセス ミンキーモモ,マホウノプリンセス ミンキーモモ,1982/03/18,1983/05/26,テレビ東京,原案・構成/首藤剛志 連載/「よいこ」「幼稚園」「学習雑誌」「少女コミック」（小学館）,http://mediaarts-db.jp/an/anime_series/1401
ANS000079800,劇場,象のいない動物園,ゾウノイナイドウブツエン,1982/03/20,-,日本ヘラルド映画,NULL,http://mediaarts-db.jp/an/anime_series/1403
ANS000080000,TV,ゲームセンターあらし,ゲームセンターアラシ,1982/04/05,1982/09/27,日本テレビ,原作/すがやみつる 連載/コロコロコミック、小学二年生、小学三年生,http://mediaarts-db.jp/an/anime_series/1407
ANS000079900,劇場,世界名作童話 アラジンと魔法のランプ,セカイメイサクドウワ　アラジントマホウノランプ,1982/03/13,-,東映,「アラビアンナイト」より,http://mediaarts-db.jp/an/anime_series/1405
ANS000080200,TV,トンデラハウスの大冒険,トンデラハウスノ　ダイボウケン,1982/04/05,1983/03/28,テレビ東京,-,http://mediaarts-db.jp/an/anime_series/1411
ANS000080300,TV,パタリロ!,パタリロ!,1982/04/08,1983/05/13,フジテレビ,原作/魔夜峰央 「花とゆめ」連載,http://mediaarts-db.jp/an/anime_series/1413
ANS000080100,TV,手塚治虫の ドン・ドラキュラ,ドンドラキュラ,1982/04/05,1982/04/26,テレビ東京,原作/手塚治虫 秋田書店少年チャンピオンコミックスより,http://mediaarts-db.jp/an/anime_series/1409
ANS000080400,TV,アニメ野生のさけび,アニメ　ヤセイノサケビ,1982/04/17,1984/03/28,テレビ東京,原作/椋鳩十 （ポプラ社版 椋鳩十全集より） 全国学校図書館協議会選定図書,http://mediaarts-db.jp/an/anime_series/1416
ANS000080500,TV,科学救助隊テクノボイジャー,カガクキュウジョタイテクノボイジャー,1982/04/17,1982/09/11,フジテレビ,-,http://mediaarts-db.jp/an/anime_series/1418
ANS000080700,劇場,浮浪雲,ハグレグモ,1982/04/24,-,東映,原作/ジョージ秋山 小学館・刊「ビッグコミックス」,http://mediaarts-db.jp/an/anime_series/1422
ANS000080600,劇場,戦国魔神ゴーショーグン,センゴクマジンゴーショーグン,1982/04/24,-,東映,原作・脚本/首藤剛志,http://mediaarts-db.jp/an/anime_series/1420
ANS000080800,TV,ぽっぺん先生と帰らずの沼,ポッペンセンセイトカエラズノヌマ,1982/04/29,-,毎日放送,原作、オリジナルキャラクター/舟崎克彦 「ぽっぺん先生と帰らずの沼」（筑摩書房刊）,http://mediaarts-db.jp/an/anime_series/1424
ANS000080900,TVスペシャル,白い牙ホワイトファング物語,シロイキバホワイトファングモノガタリ,1982/05/05,-,TBS,原作/ジャック・ロンドン「WHITE FANK」より、鈴木美紀子 訳,http://mediaarts-db.jp/an/anime_series/1426
ANS000081000,TV,二死満塁[ツーダンフルベース],ツーダンフルベース,1982/05/05,-,フジテレビ,原作/砂田弘（ポプラ社刊）,http://mediaarts-db.jp/an/anime_series/1428
ANS000081200,TV,おちゃめ神物語コロコロポロン,オチャメカミモノガタリコロコロポロン,1982/05/08,1983/03/26,フジテレビ,原作/吾妻ひでお （オリンポスのポロン） 連載/双葉社、100てんコミック,http://mediaarts-db.jp/an/anime_series/1432
ANS000081100,TV,魔境伝説アクロバンチ,マキョウデンセツアクロバンチ,1982/05/05,1982/12/24,日本テレビ,NULL,http://mediaarts-db.jp/an/anime_series/1430
ANS000081400,TV,孫悟空シルクロードをとぶ!!,ソンゴクウ　シルクロードヲトブ!!,1982/06/17,-,フジテレビ,-,http://mediaarts-db.jp/an/anime_series/1436
ANS000081300,TV,とんでモン・ペ,トンデモン・ペ,1982/06/05,1983/04/02,朝日放送,原作/たいら文平、いまいかおる 連載/講談社、なかよし、おともだち、たのしい幼稚園、ディズニーランド,http://mediaarts-db.jp/an/anime_series/1434
ANS000081500,TV,太陽の子エステバン,タイヨウノコ　エステバン,1982/06/29,1983/06/07,NHK,原案/スコット・オディール、早坂暁,http://mediaarts-db.jp/an/anime_series/1438
ANS000081700,TV,Theかぼちゃワイン,ザ　カボチャ　ワイン,1982/07/05,1984/08/27,テレビ朝日,原作/三浦みつる（講談社「少年マガジン」連載）,http://mediaarts-db.jp/an/anime_series/1442
ANS000081600,劇場,SPACE・ADVENTURE コブラ,コブラ,1982/07/03,-,東宝東和,原作/寺沢武一 週刊少年ジャンプ連載 集英社刊,http://mediaarts-db.jp/an/anime_series/1440
ANS000081800,TV,銀河烈風バクシンガー,ギンガレップウバクシンガー,1982/07/06,1983/03/29,テレビ東京,原案、構成/山本優,http://mediaarts-db.jp/an/anime_series/1444
ANS000081900,劇場,伝説巨神イデオン 接触篇,デンセツキョジンイデオン　セッショクヘン,1982/07/10,-,松竹,原作/矢立肇、富野喜幸,http://mediaarts-db.jp/an/anime_series/1446
ANS000082000,劇場,伝説巨神イデオン 発動篇,デンセツキョジンイデオン　ハツドウヘン,1982/07/10,-,松竹,原作/矢立肇、富野喜幸,http://mediaarts-db.jp/an/anime_series/1448
ANS000082200,劇場,わが青春のアルカディア,ワガセイシュンノアルカディア,1982/07/28,-,東映,企画・原作・構成／松本零士,http://mediaarts-db.jp/an/anime_series/1452
ANS000082100,劇場,Dr.SLUMP,ドクタースランプ,1982/07/10,-,東映,原作/鳥山明 〔週刊少年ジャンプ連載「Dr.スランプ」より〕,http://mediaarts-db.jp/an/anime_series/1450
ANS000082400,TV,アンドロメダストーリーズ,アンドロメダストーリーズ,1982/08/22,-,日本テレビ,原作/光瀬龍、竹宮恵子（朝日ソノラマ刊 デュオ掲載）,http://mediaarts-db.jp/an/anime_series/1456
ANS000082500,TVスペシャル,十五少年漂流記,ジュウゴショウネンヒョウリュウキ,1987/10/19,-,フジテレビ系 NTTトークスペシャル,ジュール・ベルヌ,http://mediaarts-db.jp/an/anime_series/1458
ANS000082300,劇場,巨人の星,キョジンノホシ,1982/08/21,-,富士映画,原作/梶原一騎、川崎のぼる（講談社刊）,http://mediaarts-db.jp/an/anime_series/1454
ANS000082600,劇場,テクノポリス21C,テクノポリス 21C,1982/08/07,-,東宝,原案/鈴木敏充,http://mediaarts-db.jp/an/anime_series/1460
ANS000082700,TV,超時空要塞マクロス,チョウジクウヨウサイマクロス,1982/10/03,1983/06/26,毎日放送,原作/スタジオぬえ 連載/小学館学習雑誌、てれびくん、冒険王■原作協力/アートランド,http://mediaarts-db.jp/an/anime_series/1462
ANS000083000,TV,サイボットロボッチ,サイボットロボッチ,1982/10/07,1983/06/29,テレビ東京,原作/石川賢、安藤豊弘,http://mediaarts-db.jp/an/anime_series/1468
ANS000082800,TV,忍者マン一平,ニンジャマン　イッペイ,1982/10/04,1982/12/27,日本テレビ,原作/河合一慶 100てんコミックス連載 双葉社刊,http://mediaarts-db.jp/an/anime_series/1464
ANS000082900,TV,少年宮本武蔵 わんぱく二刀流,ショウネンミヤモトムサシ　ワンパクニトウリュウ,1982/10/06,-,フジテレビ,原作/柴田錬三郎 講談社刊「決斗者」より,http://mediaarts-db.jp/an/anime_series/1466
ANS000083200,TV,ときめきトゥナイト,トキメキトゥナイト,1982/10/07,1983/09/22,日本テレビ,原作/池野恋 集英社「りぼん」連載,http://mediaarts-db.jp/an/anime_series/1472
ANS000083100,TV,スペースコブラ,スペースコブラ,1982/10/07,1983/05/19,フジテレビ,原作/寺沢武一 （週刊少年ジャンプ掲載 集英社刊）,http://mediaarts-db.jp/an/anime_series/1470
ANS000083300,TV,レインボーマン,アイノセンシレインボーマン,1982/10/10,1983/04/09,毎日放送,原作/川内康範 連載/てれびくん、小学館の学習雑誌,http://mediaarts-db.jp/an/anime_series/1474
ANS000083500,TV,わが青春のアルカディア 無限軌道SSX,ワガセイシュンノアルカディア　ムゲンキドウ　エスエスエックス,1982/10/13,1983/03/30,TBS,原作/松本零士,http://mediaarts-db.jp/an/anime_series/1478
ANS000083400,TV,新みつばちマーヤの冒険,シンミツバチマーヤノボウケン,1982/10/12,1983/09/27,テレビ大阪,原作/W・ボンゼルス,http://mediaarts-db.jp/an/anime_series/1476
ANS000083700,TV,さすがの猿飛,サスガノサルトビ,1982/10/17,1984/03/11,フジテレビ,原作/細野不二彦（週刊少年サンデー連載・小学館刊）,http://mediaarts-db.jp/an/anime_series/1482
ANS000083600,TV,一ツ星家のウルトラ婆さん,ヒトツボシケノウルトラバアサン,1982/10/16,1983/01/15,よみうりテレビ,原作/芥川めめ 連載/四年生、週刊少女コミック、月刊ちゃお,http://mediaarts-db.jp/an/anime_series/1480
ANS000083900,劇場,FUTURE WAR 198X年,フューチャーウォー 198Xネン,1982/10/30,-,東映,-,http://mediaarts-db.jp/an/anime_series/1486
ANS000084100,TV,フクちゃん,フクチャン,1982/11/02,1984/03/27,テレビ朝日,原作/横山隆一 連載/小学館の学習雑誌、てれびくん,http://mediaarts-db.jp/an/anime_series/1488
ANS000083800,劇場,対馬丸 ～さようなら沖縄～,ツシママル　サヨウナラオキナワ,1982/10/24,-,日本ヘラルド映画,原作/大城立裕（理論社刊）,http://mediaarts-db.jp/an/anime_series/1484
ANS000084300,TVスペシャル,愛の奇蹟ドクターノーマン物語,アイノキセキドクターノーマンモノガタリ,1982/12/24,-,テレビ朝日,NULL,http://mediaarts-db.jp/an/anime_series/1492
ANS000084200,劇場,六神合体 ゴッドマーズ,ロクシンガッタイ　ゴッドマーズ,1982/12/18,-,東宝東和,原作/横山光輝（“マーズ”*より）,http://mediaarts-db.jp/an/anime_series/1490
ANS000084600,TV,オバケ,オバケ,1982/08/15,-,TBS,原作・脚本/川内康範,http://mediaarts-db.jp/an/anime_series/1498
ANS000084400,TV,花王名人劇場 浪花節大好き,ナニワブシダイスキ,1982/02/07,1982/02/07,フジテレビ,-,http://mediaarts-db.jp/an/anime_series/1494
ANS000084500,TV,超アニメバラエティ ニャロメのおもしろ数学教室,チョウアニメバラエティー　ニャロメノオモシロスウガクキョウシツ,1982/08/11,1982/08/25,TBS,原作/赤塚不二夫「ニャロメのおもしろ数学教室」波乗社企画 パシフィカ刊,http://mediaarts-db.jp/an/anime_series/1496
ANS000085000,劇場,怪物くん デーモンの剣,カイブツクン　デーモンノケン,1982/03/13,-,東宝,原作/藤子不二雄 連載/マミー、ベビーブック、めばえ、よいこ、幼稚園、てれびくん、コロコロコミック、小学一年生ほか,http://mediaarts-db.jp/an/anime_series/1502
ANS000084700,TV,プロゴルファー猿,プロゴルファーサル,1982/10/19,1982/10/19,テレビ朝日,原作/藤子不二雄,http://mediaarts-db.jp/an/anime_series/1500
ANS000085200,劇場,あさりちゃん 愛のメルヘン少女,アサリチャン　アイノメルヘンショウジョ,1982/03/13,-,東映,原作/室山まゆみ 掲載/小学館学習雑誌、コロコロコミック、てれびくん,http://mediaarts-db.jp/an/anime_series/1506
ANS000085400,その他,Dr.スランプアラレちゃんの交通安全,ドクタースランプアラレチャンノコウツウアンゼン,1982,-,-,-,http://mediaarts-db.jp/an/anime_series/1508
ANS000085100,劇場,新ど根性ガエル ど根性・夢枕,シンドコンジョウガエル　ドコンジョウ・ユメマクラ,1982/03/13,-,東宝東和,吉沢やすみ（ジャンプコミックス・集英社刊）,http://mediaarts-db.jp/an/anime_series/1504
ANS000085500,OVA,妖怪人間ベム パートII,ヨウカイニンゲンベムパートツー,1991/10/21,-,[発]MERIDA,NULL,http://mediaarts-db.jp/an/anime_series/1510
ANS000085800,TV,アルプス物語 わたしのアンネット,アルプスモノガタリワタシノアンネット,1983/01/09,1983/12/25,フジテレビ,原作/パトリシア・セント・ジョン作「雪のたから」より,http://mediaarts-db.jp/an/anime_series/1512
ANS000085900,TV,未来警察ウラシマン,ミライケイサツウラシマン,1983/01/09,1983/12/24,フジテレビ,連載/少年チャンピオン、冒険王、マイアニメ（秋田書店）,http://mediaarts-db.jp/an/anime_series/1514
ANS000086000,TV,キャプテン （シリーズ）,キャプテン　テレビシリーズ,1983/01/10,1983/07/04,日本テレビ,原作/ちばあきお （集英社 ジャンプコミックス）掲載誌/月刊少年ジャンプ、ジャンプ・コミックス,http://mediaarts-db.jp/an/anime_series/1516
ANS000086100,TV,亜空大作戦スラングル,アクウダイサクセンスラングル,1983/01/21,1984/01/27,テレビ朝日,連載/講談社・おともだち、たのしい幼稚園、テレビマガジン,http://mediaarts-db.jp/an/anime_series/1518
ANS000086300,TV,吾輩は犬である ドン松五郎の生活,ワガハイハイヌデアル　ドンマツゴロウノセイカツ,1983/02/09,1983/02/09,フジテレビ,原作/井上ひさし,http://mediaarts-db.jp/an/anime_series/1522
ANS000086200,TV,聖戦士ダンバイン,セイセンシダンバイン,1983/02/05,1984/01/21,名古屋テレビ,原作/富野由悠季、矢立肇,http://mediaarts-db.jp/an/anime_series/1520
ANS000086600,TV,愛してナイト,アイシテナイト,1983/03/01,1984/01/24,テレビ朝日,原作/多田かおる 連載/別冊マーガレット、りぼん、週刊マーガレット,http://mediaarts-db.jp/an/anime_series/1526
ANS000086400,劇場,うる星やつら オンリー・ユー,ウルセイヤツラ　オンリー・ユー,1983/02/11,-,東宝,原作/高橋留美子（小学館・週刊少年サンデー連載）,http://mediaarts-db.jp/an/anime_series/1524
ANS000086700,劇場,クラッシャージョウ,クラッシャージョウ,1983/03/12,-,松竹,原作/高千穂遙（朝日ソノラマ刊）,http://mediaarts-db.jp/an/anime_series/1528
ANS000086800,劇場,幻魔大戦,ゲンマタイセン,1983/03/12,-,東宝東和,原作/平井和正（角川書店）、石森章太郎,http://mediaarts-db.jp/an/anime_series/1530
ANS000086900,劇場,ドラえもん のび太の海底鬼岩城,ノビタノカイテイキガンジョウ,1983/03/13,-,東宝,原作・脚本/藤子不二雄 連載/小学館の学習雑誌 マミイ、ベビーブック、めばえ、よいこ、幼稚園、学習幼稚園、てれびくん、コロコロコミックほか,http://mediaarts-db.jp/an/anime_series/1532
ANS000087000,劇場,まんがイソップ物語,マンガイソップモノガタリ,1983/03/13,-,東映,-,http://mediaarts-db.jp/an/anime_series/1534
ANS000087200,TV,光速電神アルベガス,コウソクデンジン　アルベガス,1983/03/30,1984/02/29,テレビ東京,原案/八手三郎 掲載/「テレビランド」「てれびくん」,http://mediaarts-db.jp/an/anime_series/1538
ANS000087100,劇場,宇宙戦艦ヤマト 完結編,ウチュウセンカンヤマト カンケツヘン,1983/03/19,-,東映,原案・設定・監修/松本零士,http://mediaarts-db.jp/an/anime_series/1536
ANS000087300,TV,みゆき,ミユキ,1983/03/31,1984/04/20,フジテレビ,原作/あだち充 （小学館・少年ビッグコミック連載）,http://mediaarts-db.jp/an/anime_series/1540
ANS000087400,TV,装甲騎兵ボトムズ,ソウコウキヘイボトムズ,1983/04/01,1984/03/23,テレビ東京,原案/矢立肇■原作/高橋良輔,http://mediaarts-db.jp/an/anime_series/1542
ANS000087500,TV,ななこSOS,ナナコエスオーエス,1983/04/02,1984/01/14,フジテレビ,原作/吾妻ひでお 連載/（光文社・月刊「ジャストコミック」）,http://mediaarts-db.jp/an/anime_series/1544
ANS000087700,TV,まんが日本史,マンガニホンシ,1983/04/03,1984/04/08,日本テレビ,NULL,http://mediaarts-db.jp/an/anime_series/1548
ANS000087600,TV,キン肉マン,キンニクマン,1983/04/03,1986/10/01,日本テレビ,原作/ゆでたまご 集英社「週刊少年ジャンプ」連載,http://mediaarts-db.jp/an/anime_series/1546
ANS000087800,TV,ミームいろいろ夢の旅,ミームイロイロユメノタビ,1983/04/03,1985/09/29,TBS,オリジナル,http://mediaarts-db.jp/an/anime_series/1550
ANS000087900,TV,スプーンおばさん,スプーンオバサン,1983/04/04,1984/03/30,NHK,原作/アルフ=プリョイセン,http://mediaarts-db.jp/an/anime_series/1552
ANS000088100,TV,パソコントラベル探偵団,パソコントラベルタンテイダン,1983/04/04,1983/09/26,テレビ東京,-,http://mediaarts-db.jp/an/anime_series/1556
ANS000088200,TV,銀河疾風サスライガー,ギンガシップウサスライガー,1983/04/05,1984/01/31,テレビ東京,NULL,http://mediaarts-db.jp/an/anime_series/1558
ANS000088000,TV,パーマン（新）,パーマン,1983/04/04,1987/07/02,テレビ朝日,原作/藤子不二雄 連載/小学館の学習雑誌、てれびくん、コロコロコミック,http://mediaarts-db.jp/an/anime_series/1554
ANS000088300,TV,イーグルサム,イーグルサム,1983/04/07,1984/03/29,TBS,-,http://mediaarts-db.jp/an/anime_series/1560
ANS000088400,TV,タイムボカンシリーズ イタダキマン,タイムボカンシリーズ　イタダキマン,1983/04/09,1983/09/24,フジテレビ,原作/タツノコプロ企画室、九里一平,http://mediaarts-db.jp/an/anime_series/1562
ANS000088700,劇場,プロ野球を10倍楽しく見る方法,プロヤキュウヲジュウバイタノシクミルホウホウ,1983/04/29,-,東宝東和,原作/江本孟紀 KKベストセラーズ刊「プロ野球を10倍楽しく見る方法」「プロ野球を20倍楽しく見る方法」,http://mediaarts-db.jp/an/anime_series/1568
ANS000088500,TV,レディジョージィ,レディジョージィ,1983/04/09,1984/02/25,朝日放送,原作/いがらしゆみこ、井沢満 連載/小学館 週刊少女コミック、フラワー・コミックス「ジョージィ!」,http://mediaarts-db.jp/an/anime_series/1564
ANS000088600,劇場,ノエルの不思議な冒険,ノエルノフシギナボウケン,1983/04/29,-,東映セントラルフィルム,原作/イルカ,http://mediaarts-db.jp/an/anime_series/1566
